mz,rt,int,mzUncertainty,rtUncertainty,intUncertainty,dqs_cen,dqs_bin,dqs_peak
122.981,1164.44,1.02958e+07,1.15639e-05,0.627833,1.23079e+06,0.819709,0.626476,0.735805
123.538,898.707,4.07415e+07,8.2163e-06,1.41771,5.17248e+06,0.828429,0.525448,0.727922
124.059,64.4468,1.87521e+06,1.36115e-05,0.132025,98491.3,0.821362,0.725582,0.805189
124.059,69.827,3.06668e+06,7.98581e-06,0.477392,541706,0.826731,0.750237,0.674355
125.559,1164.19,5.91177e+06,1.49395e-05,0.928234,629116,0.827951,0.682957,0.749671
126.813,1458.1,2.04451e+06,5.51968e-06,0.589797,257741,0.844809,0.677061,0.728873
127.266,1429.04,4.89879e+06,1.10979e-05,0.267173,295857,0.815868,0.721962,0.797242
128.201,758.597,1.76197e+07,1.12177e-05,0.284942,1.47939e+06,0.819964,0.599215,0.773101
130.251,1495.8,1.31805e+07,1.33567e-05,0.675006,2.1055e+06,0.842459,0.502,0.692701
130.366,1000.63,3.62094e+07,1.1043e-05,0.284085,2.77385e+06,0.735082,0.777432,0.780689
131.714,1000.55,1.82114e+07,7.18229e-06,0.249615,1.69124e+06,0.846818,0.999387,0.763857
131.737,1223.24,1.16564e+07,1.06674e-05,1.8716,1.55452e+06,0.814523,0.833247,0.721087
132.348,1498.04,3.83224e+06,8.52905e-06,1.05134,437637,0.843556,0.601408,0.741465
133.776,763.359,2.15432e+07,1.96406e-05,0.38317,5.78859e+06,0.824203,0.994988,0.573395
133.845,1003.91,3.39658e+07,1.65701e-05,0.16836,4.03159e+06,0.816413,0.822076,0.736704
134.99,965.354,2.88188e+07,7.079e-06,0.320714,1.90079e+06,0.842409,0.620356,0.791589
135.347,925.57,1.91967e+08,1.46074e-05,0.727545,5.13946e+07,0.798608,0.920038,0.57446
135.472,923.781,6.17066e+07,1.29803e-05,0.932744,4.64506e+06,0.835095,0.999422,0.782055
135.597,923.272,2.08687e+07,6.22937e-06,1.07979,2.49544e+06,0.845848,0.680341,0.735768
136.103,212.885,8.6293e+06,1.06452e-05,2.0433,1.61966e+06,0.820135,0.987194,0.662304
136.103,252.496,1.88624e+07,7.88925e-06,3.61353,5.49479e+06,0.827734,0.98778,0.548633
136.291,1136,2.36141e+07,1.10893e-05,0.479984,2.78866e+06,0.824007,0.517054,0.737342
137.366,1191.97,4.46032e+07,1.0297e-05,0.72749,7.31551e+06,0.808688,0.932103,0.688076
137.491,1190.91,1.64402e+07,1.60426e-05,0.575795,1.23509e+06,0.829702,0.89992,0.78221
137.698,1048.32,5.92169e+07,1.84625e-05,0.78813,1.04577e+07,0.842982,0.704311,0.674401
139.34,1165.04,1.50011e+07,7.67279e-06,0.293933,2.5073e+06,0.83277,0.651524,0.684683
140.073,1190.76,1.94634e+07,1.02805e-05,1.68425,3.15603e+06,0.815555,0.844724,0.690093
140.35,1056.74,4.5323e+07,2.89348e-05,0.00176734,85477.3,0.810553,0.998566,0.854722
140.35,1061.8,1.49232e+08,1.80525e-05,0.880027,3.55361e+07,0.766933,0.998667,0.606984
129.077,773.022,1.98577e+07,1.41199e-05,0.263948,2.56135e+06,0.809062,0.540598,0.725762
140.748,1073.26,2.05873e+07,1.12456e-05,0.100681,1.21343e+06,0.788207,0.677817,0.798713
142.634,1452.72,1.71064e+06,8.5301e-06,0.524629,240843,0.84154,0.633704,0.713129
132.597,923.887,1.68397e+07,9.67894e-06,0.525455,1.51894e+06,0.842409,0.545858,0.766632
143.807,1128.02,1.44328e+07,1.20847e-05,1.31271,3.36872e+06,0.845156,0.571347,0.612172
144.281,1505.1,6.88547e+06,1.24545e-05,1.83128,1.64735e+06,0.827684,0.842745,0.605748
145.051,192.137,5.44692e+06,1.43687e-05,2.51016,2.54503e+06,0.816637,0.434828,0.365499
146.044,194.118,2.8689e+06,1.12896e-05,0.571222,272744,0.82883,0.820324,0.761561
146.1,152.83,2.18903e+06,1.99969e-05,-2.91009,382108,0.817481,0.885649,0.676626
146.478,1073.19,2.98721e+07,9.33143e-06,0.322143,1.88821e+06,0.84434,0.656558,0.794384
146.92,1023.39,1.23414e+08,1.82906e-05,2.43069,2.54851e+07,0.832143,0.627957,0.641721
147.605,1071.63,9.17657e+07,1.49136e-05,0.54037,6.33655e+06,0.792382,0.769464,0.788432
147.731,1072.27,6.79912e+07,1.83885e-05,0.289446,5.91606e+06,0.822302,0.774864,0.769942
148.103,1646.8,1.21586e+06,2.26645e-05,-4.78366,130558,0.835859,0.995618,0.748659
148.516,966.012,1.72234e+07,1.54941e-05,0.319732,2.4088e+06,0.818516,0.99671,0.714133
148.672,1259.11,6.33296e+06,1.39099e-05,0.389766,856278,0.835202,0.567221,0.719111
148.835,844.147,4.94084e+07,1.35887e-05,0.562007,4.69334e+06,0.813635,0.676904,0.761642
148.96,843.81,2.11889e+07,5.76728e-06,0.258499,2.48596e+06,0.844787,0.805903,0.738158
149.069,421.184,2.09757e+08,4.61758e-06,-0.74361,8.49353e+07,0.837219,0.965374,0.427584
149.362,1022.4,8.17527e+07,1.81302e-05,1.3837,1.16621e+07,0.835128,0.722539,0.711133
138.454,21.6511,481066,1.88152e-05,0.585768,51159.9,0.837292,0.543816,0.749745
149.982,944.975,3.72272e+07,1.74308e-05,0.289403,3.18092e+06,0.824778,0.997366,0.771565
150.072,456.596,2.26847e+06,1.55984e-05,-0.222859,282233,0.835562,0.986177,0.730629
150.072,426.747,7.57703e+06,1.13226e-05,-1.02556,561190,0.833456,0.989827,0.783299
150.18,1184.96,5.14203e+06,1.34015e-05,0.309282,285304,0.844109,0.715076,0.802205
150.716,215.746,2.42305e+06,1.94419e-05,1.45035,516421,0.808734,0.996017,0.634451
140.476,1058.93,4.41519e+07,9.1529e-06,0.527368,1.04679e+07,0.806622,0.696481,0.608126
140.476,1061.95,5.90809e+07,7.30121e-06,0.559179,1.49848e+07,0.790988,0.780273,0.589939
151.208,1105.65,9.44479e+06,7.70507e-06,0.114209,668750,0.827166,0.792979,0.786638
151.383,1166.06,1.23144e+07,2.10154e-05,0.426648,1.74313e+06,0.80387,0.706821,0.712312
151.428,1166.56,1.12244e+07,1.22913e-05,1.81855,1.97042e+06,0.797915,0.640541,0.675546
151.876,1223.5,2.47525e+07,1.17477e-05,0.637721,3.11072e+06,0.818365,0.917649,0.729291
151.893,1071.71,1.38494e+07,8.1601e-06,0.13617,1.10983e+06,0.841757,0.642872,0.777054
153.243,1514.1,4.23678e+06,1.36367e-05,0.863687,364559,0.839074,0.508407,0.770944
153.543,1047.33,5.46424e+07,2.65697e-05,0.45133,1.70269e+07,0.84143,0.705869,0.526523
153.542,1024.94,1.51624e+08,2.05983e-05,2.36799,4.4725e+07,0.844559,0.844253,0.544632
154.587,1223.57,1.52347e+07,1.49373e-05,1.75994,4.14839e+06,0.780496,0.855182,0.569444
154.718,1046.01,6.05969e+07,2.23198e-05,0.39375,8.36103e+06,0.830866,0.575727,0.716146
154.718,1021.68,1.2946e+08,1.8963e-05,1.63669,1.78603e+07,0.840628,0.746308,0.716166
155.788,1093.41,3.8141e+07,2.39759e-05,0.466279,7.83542e+06,0.821753,0.824125,0.642892
155.907,1149.6,1.57173e+07,1.8798e-05,1.92228,1.98527e+06,0.834496,0.812702,0.728612
157.235,1217.14,6.16436e+06,1.56411e-05,0.439294,1.42784e+06,0.830816,0.610739,0.614129
159.801,1024.82,1.17734e+08,1.64844e-05,3.71053,4.82577e+07,0.844015,0.460762,0.422497
160.368,1046.81,7.59662e+07,3.50484e-05,0.545854,1.87518e+07,0.81813,0.926944,0.5974
160.368,1021.15,1.93363e+08,1.70618e-05,0.636079,9.03537e+07,0.842531,0.991934,0.365468
149.818,1005.2,4.07691e+07,2.46292e-05,0.176507,3.64063e+06,0.774101,0.740753,0.767569
162.116,1101.19,5.48994e+07,2.03046e-05,1.43729,1.38208e+07,0.826523,0.847179,0.592011
162.179,1101.09,4.78518e+07,1.53822e-05,0.192175,3.28861e+06,0.835709,0.678281,0.788765
163.743,1188.52,1.25186e+07,1.72487e-05,0.468241,757909,0.833514,0.445722,0.797091
164.076,1195.27,5.41443e+06,1.02138e-05,0.395771,374159,0.839744,0.830846,0.788378
164.367,963.354,5.41551e+07,1.05947e-05,0.110626,4.44386e+06,0.817386,0.686721,0.77507
164.492,964.528,3.75098e+07,3.00805e-05,0.857854,8.17652e+06,0.819983,0.999016,0.62912
165.735,1020.23,8.04197e+07,1.99687e-05,0.898485,1.08015e+07,0.841451,0.590908,0.720069
165.765,1128.11,1.61915e+07,1.45498e-05,0.60172,1.96043e+06,0.836614,0.649394,0.734177
165.822,1127.41,1.03965e+07,1.36483e-05,0.846466,1.95034e+06,0.846245,0.672509,0.662411
166.387,1253.41,6.94665e+06,1.43216e-05,0.567882,789725,0.836383,0.447091,0.742008
167.101,122.639,1.72996e+06,1.62501e-05,-1.27589,200223,0.830437,0.719506,0.739837
159.808,1217.84,5.27655e+06,1.2273e-05,0.373048,339170,0.829699,0.502769,0.793297
168.09,243.11,3.20921e+06,1.58453e-05,2.88177,794078,0.805788,0.843524,0.596749
169.31,1114.93,1.27249e+07,3.23458e-05,0.898517,1.12838e+06,0.817838,0.752359,0.768217
169.434,1114.81,6.06341e+07,2.1756e-05,1.18965,6.6095e+06,0.817362,0.817119,0.746945
169.496,1116.02,6.5432e+07,1.69113e-05,0.490742,4.98086e+06,0.787377,0.998518,0.781186
169.546,989.22,2.20261e+07,2.11384e-05,0.35594,1.64134e+06,0.83669,0.798997,0.782834
171.375,1021.15,8.50692e+07,3.02024e-05,2.44804,1.73473e+07,0.834745,0.999081,0.64455
171.375,1044.83,5.44014e+07,2.22129e-05,0.260021,3.25039e+06,0.83984,0.999071,0.797896
176.626,1129.88,3.74278e+07,1.08302e-05,0.645465,2.18022e+06,0.829207,0.742289,0.799411
176.689,1129.84,2.80546e+07,2.91628e-05,0.402684,3.88079e+06,0.799101,0.791621,0.71577
176.751,1129.32,4.30121e+07,1.91646e-05,1.49059,4.65849e+06,0.793176,0.80999,0.747683
176.94,1148.96,1.39011e+07,2.39024e-05,0.485073,2.41522e+06,0.809297,0.904791,0.677511
177,1149.1,1.03627e+07,1.51743e-05,1.07943,1.13932e+06,0.842405,0.55749,0.745956
162.241,1104.44,4.82845e+07,1.98415e-05,1.96186,1.99777e+07,0.814299,0.947184,0.418553
178.136,257.511,1.77116e+06,3.77234e-05,0.663757,221731,0.777813,0.838042,0.729805
178.136,306.272,6.65334e+06,2.46469e-05,1.39186,1.12205e+06,0.795394,0.863416,0.683051
179.145,255.913,815220,3.6313e-05,0.0589544,24020,0.828274,0.965763,0.828104
179.145,283.417,1.09751e+06,4.94402e-05,0.396945,93405.6,0.832965,0.977119,0.771917
179.145,304.618,7.13211e+06,3.37727e-05,0.770933,929078,0.824718,0.966122,0.724394
180.174,862.984,4.72782e+07,2.39256e-05,0.450472,4.91538e+06,0.819045,0.679747,0.752246
182.068,819.058,2.58382e+07,1.70251e-05,0.265393,3.78584e+06,0.81737,0.994658,0.706972
183.061,1621.74,2.67418e+07,1.95788e-05,-1.63519,2.62433e+06,0.831064,0.958716,0.758357
183.881,1147.27,1.90826e+07,1.99194e-05,0.601447,1.54729e+06,0.819523,0.710263,0.776076
183.944,1146.11,2.20374e+07,2.85099e-05,1.48493,3.06177e+06,0.796794,0.870113,0.715121
188.981,1632.77,3.39706e+06,4.07091e-05,-1.47711,1.19597e+06,0.809351,0.925379,0.48297
190.065,885.82,1.59982e+07,2.81257e-05,0.2095,3.2791e+06,0.819314,0.998451,0.643403
191.262,1170.54,9.00358e+06,2.11681e-05,0.451807,1.24208e+06,0.824412,0.65864,0.716172
193.274,199.768,427296,2.88908e-05,0.240143,46992.2,0.839654,0.986325,0.745923
193.513,990.922,5.11865e+07,2.05603e-05,1.22199,9.22281e+06,0.808414,0.818798,0.670501
194.775,1089.74,1.7517e+07,2.26492e-05,0.285762,1.83294e+06,0.835474,0.607708,0.751541
196.106,992.933,3.81133e+07,2.01909e-05,0.590514,4.44049e+06,0.789516,0.995556,0.739022
