mz,rt,int,mzUncertainty,rtUncertainty,intUncertainty,dqs_cen,dqs_bin,dqs_peak
168.836,437.653,2.02326e+09,7.12466e-06,1.22588,1.4586e+08,0.836961,0.998908,0.785322
168.836,478.875,1.59396e+09,9.15861e-06,0.266123,1.11882e+08,0.833222,0.998366,0.787267
168.836,501.254,2.0675e+09,1.18869e-05,0.620408,2.3003e+08,0.836666,0.99902,0.744569
168.836,403.611,5.4498e+08,9.87104e-06,0.566109,4.92921e+07,0.8378,0.999156,0.766375
169.069,120.828,4.18565e+07,3.29297e-05,0.873258,6.98323e+06,0.824664,0.968424,0.685013
170.013,350.296,2.81588e+07,2.63073e-05,0.129511,3.23769e+06,0.806117,0.902159,0.740639
170.154,700.406,5.48943e+08,1.02198e-05,-42.0974,3.09029e+08,0.825729,0.995737,0.279751
170.154,580.517,7.03655e+07,3.6858e-05,0.0700748,2.72205e+06,0.789243,0.994337,0.819009
170.154,606.813,1.56087e+08,2.38737e-05,0.339674,4.20203e+07,0.819976,0.962064,0.57283
170.833,173.521,4.80466e+08,1.31292e-05,-1.73813,7.68048e+07,0.830443,0.998222,0.692581
170.833,676.178,7.79972e+09,7.79819e-06,-10.1549,1.58577e+09,0.833857,0.996505,0.645217
170.833,267.159,9.01326e+08,9.43779e-06,-10.3715,2.1006e+08,0.833595,0.997726,0.612558
170.833,370.412,2.04982e+08,9.51372e-06,0.391476,1.40623e+07,0.835051,0.998968,0.78889
170.833,342.361,4.55498e+08,9.51114e-06,0.923169,2.96553e+07,0.836241,0.998461,0.792456
170.833,479.634,3.28307e+09,8.27406e-06,1.84576,5.99276e+08,0.838136,0.997518,0.667934
170.833,499.508,4.83538e+09,1.12147e-05,2.10914,1.41381e+09,0.836727,0.998042,0.547456
170.833,438.06,2.80147e+09,8.02723e-06,0.809739,1.53758e+08,0.835821,0.998319,0.80281
170.833,403.905,8.20436e+08,8.50883e-06,0.530668,7.67858e+07,0.83534,0.998976,0.763102
171.149,193.15,2.59922e+08,3.08843e-05,-17.4995,4.84751e+07,0.830744,0.97519,0.663609
171.149,698.087,8.79899e+08,1.19613e-05,-2.64122,1.55627e+08,0.83786,0.98997,0.674109
171.149,124.105,1.31652e+10,1.65953e-05,0.150785,8.2524e+08,0.832358,0.992709,0.794918
172.83,675.977,4.17516e+09,1.35362e-05,-12.2493,9.679e+08,0.837262,0.996611,0.613913
172.83,266.665,4.59338e+08,1.35416e-05,-4.65508,9.6062e+07,0.835312,0.997269,0.638836
172.83,479.944,2.28211e+09,1.37663e-05,0.628675,5.37711e+08,0.834794,0.997202,0.60974
172.83,370.495,9.04414e+07,1.36192e-05,0.278032,8.89721e+06,0.815456,0.997438,0.758107
172.83,501.631,3.21808e+09,1.44031e-05,2.90917,1.16865e+09,0.826853,0.997924,0.471186
172.83,440.175,1.75616e+09,1.53252e-05,0.600071,1.07899e+08,0.838177,0.997937,0.79618
172.83,346.391,4.43525e+08,1.28165e-05,1.17565,3.48116e+07,0.830359,0.998139,0.778752
172.831,403.723,5.48641e+08,1.439e-05,0.594229,4.87951e+07,0.830021,0.99752,0.767943
173.06,94.525,5.32618e+08,1.03852e-05,0.268974,6.96497e+07,0.833754,0.96207,0.723858
173.065,347.594,1.17872e+07,2.63882e-05,0.755523,2.09559e+06,0.83121,0.989036,0.673111
173.123,385.094,2.69948e+08,2.80381e-05,0.451748,2.77672e+07,0.831085,0.971368,0.753407
174.076,345.556,2.16028e+08,1.62817e-05,0.617655,2.61923e+07,0.827685,0.978957,0.733999
178.126,230.246,6.70136e+10,1.86192e-05,-6.44262,1.16912e+10,0.837893,0.995586,0.676731
178.126,686.269,1.91986e+10,1.01288e-05,-1.23549,3.78971e+09,0.840708,0.994271,0.651696
178.881,613.557,1.60244e+08,1.1218e-05,0.319138,3.84437e+07,0.830643,0.967622,0.605027
180.123,188.644,3.96162e+08,3.89469e-05,-6.97754,1.53206e+08,0.832659,0.967583,0.446412
180.123,231.145,2.97154e+09,1.2799e-05,-2.76282,5.67931e+08,0.835721,0.966997,0.658557
180.123,693.273,6.48099e+08,1.27434e-05,-1.1763,1.07562e+08,0.840672,0.875689,0.685959
180.15,206.662,2.80019e+08,3.16146e-05,-3.0146,7.0364e+07,0.830207,0.991987,0.59252
180.15,686.748,1.50702e+09,1.19567e-05,-4.68707,1.36074e+08,0.834017,0.989232,0.766535
180.879,613.34,6.81282e+07,1.63531e-05,0.170098,8.25948e+06,0.837528,0.856763,0.73401
181.134,705.067,5.90241e+08,9.19014e-06,-1.95565,1.44116e+08,0.832034,0.988627,0.600346
181.134,198.974,5.87073e+08,1.81321e-05,-6.28051,9.8481e+07,0.827822,0.992457,0.684024
182.048,401.76,7.96876e+07,3.14055e-05,0.118635,2.80648e+06,0.835668,0.974508,0.822439
182.139,90.0264,3.65765e+08,2.11054e-05,0.28607,2.9607e+07,0.831657,0.83757,0.776219
184.144,692.732,6.985e+09,9.04376e-06,-2.01719,5.44129e+08,0.83859,0.994695,0.779358
184.144,197.513,2.57726e+09,1.69978e-05,-1.6944,1.63457e+08,0.835824,0.995819,0.794168
189.008,679.756,4.24776e+08,7.11863e-06,-5.9728,1.72948e+08,0.832102,0.996159,0.425296
189.008,358.841,2.5009e+07,2.16185e-05,0.0519695,579985,0.824955,0.997943,0.834238
194.138,700.085,3.19447e+08,2.34101e-05,-0.465099,1.98406e+07,0.835351,0.980102,0.795502
194.138,432.272,1.19717e+08,3.13589e-05,0.258442,9.62319e+06,0.83116,0.98527,0.776799
194.165,199.514,5.64311e+08,2.51244e-05,-1.16693,6.75007e+07,0.835521,0.995968,0.735727
194.165,687.742,2.91834e+09,1.08108e-05,-2.0027,6.60601e+08,0.837632,0.995341,0.619916
194.165,156.283,2.8558e+08,2.02598e-05,1.88929,4.75215e+07,0.834025,0.996261,0.685484
195.149,24.7413,2.87301e+08,2.09929e-05,1.29058,5.5269e+07,0.831811,0.988681,0.65719
195.149,101.086,2.88636e+08,3.54873e-05,0.896554,5.38816e+07,0.835658,0.989019,0.663415
195.149,335.507,2.46177e+08,3.19296e-05,2.34091,5.00564e+07,0.831557,0.988164,0.645191
198.076,139.407,3.94223e+08,1.68045e-05,0.862116,6.75505e+07,0.837505,0.876918,0.680112
198.16,680.279,1.14577e+10,9.58962e-06,-10.9785,2.80805e+09,0.837136,0.99424,0.599339
